,stock_id,stock_name,industry_category,list_type,list_date,raw
0,3687,歐買尬,文化創意業,tpex,2020-06-03,"{'industry_category': '文化創意業', 'stock_id': '3687', 'stock_name': '歐買尬', 'type': 'tpex', 'date': '2020-06-03'}"
1,5481,新華,電子零組件業,tpex,2020-06-03,"{'industry_category': '電子零組件業', 'stock_id': '5481', 'stock_name': '新華', 'type': 'tpex', 'date': '2020-06-03'}"
2,3629,地心引力,光電業,tpex,2020-06-03,"{'industry_category': '光電業', 'stock_id': '3629', 'stock_name': '地心引力', 'type': 'tpex', 'date': '2020-06-03'}"
3,5450,寶聯通,電腦及週邊設備業,tpex,2020-06-03,"{'industry_category': '電腦及週邊設備業', 'stock_id': '5450', 'stock_name': '寶聯通', 'type': 'tpex', 'date': '2020-06-03'}"
4,6238,勝麗,其他電子類,tpex,2020-06-13,"{'industry_category': '其他電子類', 'stock_id': '6238', 'stock_name': '勝麗', 'type': 'tpex', 'date': '2020-06-13'}"
5,00835B,第一金科技債10+,上櫃指數股票型基金(ETF),tpex,2020-06-24,"{'industry_category': '上櫃指數股票型基金(ETF)', 'stock_id': '00835B', 'stock_name': '第一金科技債10+', 'type': 'tpex', 'date': '2020-06-24'}"
6,00837B,永豐15年金融債,上櫃指數股票型基金(ETF),tpex,2020-07-02,"{'industry_category': '上櫃指數股票型基金(ETF)', 'stock_id': '00837B', 'stock_name': '永豐15年金融債', 'type': 'tpex', 'date': '2020-07-02'}"
7,00798B,國泰中企A級債7+,上櫃指數股票型基金(ETF),tpex,2020-07-16,"{'industry_category': '上櫃指數股票型基金(ETF)', 'stock_id': '00798B', 'stock_name': '國泰中企A級債7+', 'type': 'tpex', 'date': '2020-07-16'}"
8,6497,亞獅康-KY,生技醫療業,tpex,2020-08-27,"{'industry_category': '生技醫療業', 'stock_id': '6497', 'stock_name': '亞獅康-KY', 'type': 'tpex', 'date': '2020-08-27'}"
9,5349,先豐,電子零組件業,tpex,2020-10-31,"{'industry_category': '電子零組件業', 'stock_id': '5349', 'stock_name': '先豐', 'type': 'tpex', 'date': '2020-10-31'}"
10,01005T,三鼎,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01005T', 'stock_name': '三鼎', 'type': 'twse', 'date': '2020-11-14'}"
11,01007T,兆豐國泰R2,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01007T', 'stock_name': '兆豐國泰R2', 'type': 'twse', 'date': '2020-11-14'}"
12,01004T,土銀富邦R2,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01004T', 'stock_name': '土銀富邦R2', 'type': 'twse', 'date': '2020-11-14'}"
13,01009T,王道圓滿R1,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01009T', 'stock_name': '王道圓滿R1', 'type': 'twse', 'date': '2020-11-14'}"
14,01003T,兆豐新光R1,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01003T', 'stock_name': '兆豐新光R1', 'type': 'twse', 'date': '2020-11-14'}"
15,01002T,土銀國泰R1,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01002T', 'stock_name': '土銀國泰R1', 'type': 'twse', 'date': '2020-11-14'}"
16,01001T,土銀富邦R1,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01001T', 'stock_name': '土銀富邦R1', 'type': 'twse', 'date': '2020-11-14'}"
17,01008T,駿馬R1,受益證券,twse,2020-11-14,"{'industry_category': '受益證券', 'stock_id': '01008T', 'stock_name': '駿馬R1', 'type': 'twse', 'date': '2020-11-14'}"
18,710561,威剛元大9B購02,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710561', 'stock_name': '威剛元大9B購02', 'type': 'tpex', 'date': '2020-11-15'}"
19,710566,碩禾元大9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710566', 'stock_name': '碩禾元大9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
20,710560,宏捷科元大9B購02,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710560', 'stock_name': '宏捷科元大9B購02', 'type': 'tpex', 'date': '2020-11-15'}"
21,710553,穩懋統一9B購03,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710553', 'stock_name': '穩懋統一9B購03', 'type': 'tpex', 'date': '2020-11-15'}"
22,710569,中美晶富邦9B購04,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710569', 'stock_name': '中美晶富邦9B購04', 'type': 'tpex', 'date': '2020-11-15'}"
23,710575,環球晶中信9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710575', 'stock_name': '環球晶中信9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
24,710590,鈺太凱基9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710590', 'stock_name': '鈺太凱基9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
25,710534,鈺太元大9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710534', 'stock_name': '鈺太元大9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
26,710516,宇峻永豐9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710516', 'stock_name': '宇峻永豐9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
27,710510,群聯凱基9B購03,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710510', 'stock_name': '群聯凱基9B購03', 'type': 'tpex', 'date': '2020-11-15'}"
28,711126,聯亞元大9B購05,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '711126', 'stock_name': '聯亞元大9B購05', 'type': 'tpex', 'date': '2020-11-15'}"
29,710509,建榮凱基9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710509', 'stock_name': '建榮凱基9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
30,710505,泰博富邦9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710505', 'stock_name': '泰博富邦9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
31,710502,泰博元大9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710502', 'stock_name': '泰博元大9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
32,708785,信驊中信9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '708785', 'stock_name': '信驊中信9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
33,710499,網家國泰9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '710499', 'stock_name': '網家國泰9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
34,709403,雙美國票9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '709403', 'stock_name': '雙美國票9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
35,709966,金居群益9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '709966', 'stock_name': '金居群益9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
36,709994,中美晶元大9B購01,所有證券,tpex,2020-11-15,"{'industry_category': '所有證券', 'stock_id': '709994', 'stock_name': '中美晶元大9B購01', 'type': 'tpex', 'date': '2020-11-15'}"
