,stock_id,stock_name,industry_category,list_type,list_date
960,0050,元大台灣50,ETF,twse,2025-09-30
2760,0051,元大中型100,ETF,twse,2025-09-30
2761,0052,富邦科技,ETF,twse,2025-09-30
2762,0053,元大電子,ETF,twse,2025-09-30
716,0054,元大台商50,ETF,twse,2025-08-27
2763,0055,元大MSCI金融,ETF,twse,2025-09-30
2764,0056,元大高股息,ETF,twse,2025-09-30
2765,0057,富邦摩台,ETF,twse,2025-09-30
719,0058,富邦發達,ETF,twse,2025-08-27
722,0059,富邦金融,ETF,twse,2025-08-27
433,0060,新台灣,ETF,twse,2024-12-04
2766,0061,元大寶滬深,ETF,twse,2025-09-30
2767,006201,元大富櫃50,上櫃ETF,tpex,2025-09-30
2768,006203,元大MSCI台灣,ETF,twse,2025-09-30
2769,006204,永豐臺灣加權,ETF,twse,2025-09-30
2770,006205,富邦上証,ETF,twse,2025-09-30
2772,006206,元大上證50,ETF,twse,2025-09-30
2784,006207,復華滬深,ETF,twse,2025-09-30
2773,006208,富邦台50,ETF,twse,2025-09-30
2774,00625K,富邦上証+R,ETF,twse,2025-09-30
2775,00631L,元大台灣50正2,ETF,twse,2025-09-30
2776,00632R,元大台灣50反1,ETF,twse,2025-09-30
2777,00633L,富邦上証正2,ETF,twse,2025-09-30
2778,00634R,富邦上証反1,ETF,twse,2025-09-30
2779,00635U,期元大S&P黃金,ETF,twse,2025-09-30
2780,00636,國泰中國A50,ETF,twse,2025-09-30
2781,00636K,國泰中國A50+U,ETF,twse,2025-09-30
2782,00637L,元大滬深300正2,ETF,twse,2025-09-30
2783,00638R,元大滬深300反1,ETF,twse,2025-09-30
2759,00639,富邦深100,ETF,twse,2025-09-30
2758,00640L,富邦日本正2,ETF,twse,2025-09-30
2757,00641R,富邦日本反1,ETF,twse,2025-09-30
2756,00642U,期元大S&P石油,ETF,twse,2025-09-30
2733,00643,群益深証中小,ETF,twse,2025-09-30
2734,00643K,群益深証中小+R,ETF,twse,2025-09-30
2735,00645,富邦日本,ETF,twse,2025-09-30
2736,00646,元大S&P500,ETF,twse,2025-09-30
2737,00647L,元大S&P500正2,ETF,twse,2025-09-30
2738,00648R,元大S&P500反1,ETF,twse,2025-09-30
715,00649,FH香港,ETF,twse,2025-08-27
