date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,,,,
2025/1/2,858,255581,8586856,33.62,33.64,33.54,33.63,-0.03,297,,,,
2025/1/3,858,1818001,61229546,33.62,33.74,33.61,33.66,0.03,970,,,,
2025/1/6,858,2784205,94774694,34.01,34.14,34.01,34.05,0.39,886,,,,",date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover"
2025/1/7,858,2166474,73794854,34.18,34.18,33.94,33.94,-0.11,1195,,,,
2025/1/8,858,1987770,67077995,33.69,33.81,33.69,33.8,-0.14,1017,,,,
2025/1/9,858,1442865,48795915,33.84,33.86,33.78,33.78,-0.02,780,,,,
2025/1/10,858,814969,27519826,33.76,33.81,33.68,33.79,0.01,553,,,,
2025/1/13,858,2308726,77096796,33.6,33.6,33.31,33.36,-0.43,1726,,,,
2025/1/14,858,1632748,54829246,33.52,33.66,33.5,33.6,0.24,492,,,,
2025/1/15,858,687277,23073132,33.57,33.59,33.51,33.59,-0.01,422,,,,
2025/1/16,858,1178250,40176725,34.18,34.18,34.03,34.09,0.5,548,,,,
2025/1/17,858,3269519,111550868,34.2,34.35,34,34.23,0.14,1298,,,,
2025/1/20,858,5230170,180904060,34.35,34.87,34.35,34.87,0.64,1964,,,,
2025/1/21,858,4327274,151752858,34.85,35.4,34.75,35.35,0.48,2182,,,,
2025/1/22,858,9809855,322051566,33.25,33.25,32.66,32.81,0,6968,,,,
2025/2/3,858,3135352,101243003,32.7,32.7,32.13,32.3,-0.51,2971,,,,
2025/2/4,858,1308847,42684169,32.68,32.72,32.43,32.52,0.22,1004,,,,
2025/2/5,858,1120374,36574206,32.65,32.8,32.58,32.62,0.1,852,,,,
2025/2/6,858,1130665,37139117,32.72,32.95,32.72,32.88,0.26,698,,,,
2025/2/7,858,1097962,36087007,32.93,32.94,32.82,32.86,-0.02,899,,,,
2025/2/10,858,1895425,61879686,32.85,32.85,32.59,32.69,-0.17,1372,,,,
2025/2/11,858,801241,26240867,32.73,32.79,32.73,32.75,0.06,540,,,,
2025/2/12,858,826281,27140835,32.8,32.87,32.8,32.86,0.11,544,,,,
2025/2/13,858,986169,32421920,32.9,32.9,32.85,32.87,0.01,626,,,,
2025/2/14,858,1263097,41820498,33.1,33.17,32.99,33.15,0.28,779,,,,
2025/2/17,858,1382598,45979870,33.25,33.3,33.2,33.28,0.13,844,,,,
2025/2/18,858,1749597,58250991,33.28,33.33,33.22,33.3,0.02,779,,,,
2025/2/19,858,1510071,50315376,33.44,33.44,33.28,33.29,-0.01,904,,,,
2025/2/20,858,1409351,46804574,33.3,33.32,33.15,33.17,-0.12,1477,,,,
2025/2/21,858,1928385,63779254,33.13,33.15,33,33.07,-0.1,1305,,,,
2025/2/24,858,3668910,119889179,32.82,32.85,32.6,32.68,-0.39,2774,,,,
2025/2/25,858,3681355,118898342,32.32,32.32,32.27,32.3,-0.38,3028,,,,
2025/2/26,858,2135846,68710725,32.16,32.21,32.14,32.2,-0.1,1835,,,,
2025/2/27,858,2003493,64408438,32.15,32.19,32.06,32.18,-0.02,1194,,,,
2025/3/3,858,1096859,35278790,32.17,32.25,32.09,32.25,0.07,1187,,,,
2025/3/4,858,3781563,120107719,31.9,31.9,31.72,31.78,-0.47,3049,,,,
2025/3/5,858,4270811,134298165,31.51,31.51,31.37,31.46,-0.32,3357,,,,
2025/3/6,858,857644,27061957,31.58,31.59,31.51,31.59,0.13,795,,,,
2025/3/7,858,2888768,89846215,31.2,31.2,31.06,31.08,-0.51,3119,,,,
2025/3/10,858,1678216,51986511,30.95,31.05,30.9,30.97,-0.11,1642,,,,
2025/3/11,858,2900107,87392598,30.01,30.36,29.97,30.34,-0.63,2532,,,,
2025/3/12,858,3486746,105188613,30.2,30.2,30.14,30.17,-0.17,2184,,,,
2025/3/13,858,2593103,78391840,30.3,30.34,30.1,30.12,-0.05,2571,,,,
2025/3/14,858,935592,28168630,30.13,30.14,30.06,30.11,-0.01,851,,,,
2025/3/17,858,713252,21682527,30.35,30.42,30.35,30.41,0.3,667,,,,
2025/3/18,858,2274502,69921070,30.71,30.81,30.7,30.72,0.31,1091,,,,
2025/3/19,858,844022,25756965,30.55,30.57,30.47,30.48,-0.24,991,,,,
2025/3/20,858,750121,23177769,30.75,30.95,30.75,30.92,0.44,681,,,,
2025/3/21,858,681136,20962647,30.84,30.84,30.72,30.73,-0.19,648,,,,
2025/3/24,858,435096,13469565,30.91,30.98,30.91,30.97,0.24,634,,,,
2025/3/25,858,1098990,34451559,31.27,31.38,31.27,31.32,0.35,672,,,,
2025/3/26,858,1122526,35325305,31.49,31.5,31.45,31.45,0.13,492,,,,
2025/3/27,858,447110,13908401,31.09,31.14,31.08,31.13,-0.32,939,,,,
2025/3/28,858,725260,22478944,31.12,31.12,30.96,31.03,-0.1,548,,,,
2025/3/31,858,2096376,63285540,30.16,30.23,30.14,30.23,-0.8,1697,,,,
2025/4/1,858,693245,21122524,30.32,30.57,30.32,30.57,0.34,739,,,,
2025/4/2,858,521093,15980655,30.6,30.69,30.6,30.65,0.08,534,,,,
2025/4/7,858,6322118,168496319,27,27,26.17,26.52,-4.13,3671,,,,
2025/4/8,858,3103620,86088155,27.51,27.89,27.5,27.69,1.17,1572,,,,
2025/4/9,858,3090937,82245636,26.67,26.93,26.36,26.5,-1.19,2139,,,,
