stock_id,stock_name,industry_category,list_type,list_date
Automobile,汽車類指數,Index,twse,
BiotechnologyMedicalCare,生技醫療類指數,Index,twse,
BuildingMaterialConstruction,建材營造類指數,Index,twse,
Cement,水泥類指數,Index,twse,
Chemical,化學類指數,Index,twse,
ChemicalBiotechnologyMedicalCare,化學生技醫療類指數,Index,twse,
CommunicationsInternet,通信網路類指數,Index,twse,
ComputerPeripheralEquipment,電腦及週邊設備類指數,Index,twse,
ElectricMachinery,電機機械類指數,Index,twse,
ElectricalCable,電器電纜類指數,Index,twse,
Electronic,電子類指數,Index,twse,
ElectronicPartsComponents,電子零組件類指數,Index,twse,
ElectronicProductsDistribution,電子通路類指數,Index,twse,
FinancialInsurance,金融保險類指數,Index,twse,
Food,食品類指數,Index,twse,
GlassCeramic,玻璃陶瓷類指數,Index,twse,
InformationService,資訊服務類指數,Index,twse,
IronSteel,鋼鐵類指數,Index,twse,
OilGasElectricity,油電燃氣類指數,Index,twse,
Optoelectronic,光電類指數,Index,twse,
Other,其他類指數,Index,twse,
OtherElectronic,其他電子類指數,Index,twse,
PaperPulp,造紙類指數,Index,twse,
Plastics,塑膠類指數,Index,twse,
Rubber,橡膠類指數,Index,twse,
Semiconductor,半導體類指數,Index,twse,
ShippingTransportation,航運業類指數,Index,twse,
Textiles,紡織纖維類指數,Index,twse,
Tourism,觀光事業類指數,Index,twse,
TradingConsumersGoods,貿易百貨類指數,Index,twse,
